Results:
1 Decimal: 7116776, Binary: 0000011011001001011111101000, Hexadecimal: 06C97E8
41 Decimal: 2292022, Binary: 0000001000101111100100110110, Hexadecimal: 022F936
42 Decimal: 1070496, Binary: 0000000100000101010110100000, Hexadecimal: 01055A0
43 Decimal: 8518360, Binary: 0000100000011111101011011000, Hexadecimal: 081FAD8
44 Decimal: 6378470, Binary: 0000011000010101001111100110, Hexadecimal: 06153E6
45 Decimal: 7756258, Binary: 0000011101100101100111100010, Hexadecimal: 07659E2
46 Decimal: 7111767, Binary: 0000011011001000010001010111, Hexadecimal: 06C8457
47 Decimal: 2685897, Binary: 0000001010001111101111001001, Hexadecimal: 028FBC9
48 Decimal: 617946, Binary: 0000000010010110110111011010, Hexadecimal: 0096DDA
49 Decimal: 246280, Binary: 0000000000111100001000001000, Hexadecimal: 003C208
50 Decimal: 6075442, Binary: 0000010111001011010000110010, Hexadecimal: 05CB432
51 Decimal: 991323, Binary: 0000000011110010000001011011, Hexadecimal: 00F205B
52 Decimal: 6754202, Binary: 0000011001110000111110011010, Hexadecimal: 0670F9A
53 Decimal: 3103178, Binary: 0000001011110101100111001010, Hexadecimal: 02F59CA
54 Decimal: 3228842, Binary: 0000001100010100010010101010, Hexadecimal: 03144AA
55 Decimal: 6786623, Binary: 0000011001111000111000111111, Hexadecimal: 0678E3F
56 Decimal: 5329085, Binary: 0000010100010101000010111101, Hexadecimal: 05150BD
57 Decimal: 2334647, Binary: 0000001000111001111110110111, Hexadecimal: 0239FB7
58 Decimal: 7253396, Binary: 0000011011101010110110010100, Hexadecimal: 06EAD94
59 Decimal: 6516953, Binary: 0000011000110111000011011001, Hexadecimal: 06370D9
60 Decimal: 5972725, Binary: 0000010110110010001011110101, Hexadecimal: 05B22F5
61 Decimal: 5828037, Binary: 0000010110001110110111000101, Hexadecimal: 058EDC5
62 Decimal: 6642265, Binary: 0000011001010101101001011001, Hexadecimal: 0655A59
63 Decimal: 2559699, Binary: 0000001001110000111011010011, Hexadecimal: 0270ED3
64 Decimal: 6597631, Binary: 0000011001001010101111111111, Hexadecimal: 064ABFF
65 Decimal: 5826202, Binary: 0000010110001110011010011010, Hexadecimal: 058E69A
66 Decimal: 4642335, Binary: 0000010001101101011000011111, Hexadecimal: 046D61F
67 Decimal: 1862900, Binary: 0000000111000110110011110100, Hexadecimal: 01C6CF4
68 Decimal: 6039635, Binary: 0000010111000010100001010011, Hexadecimal: 05C2853
69 Decimal: 3358744, Binary: 0000001100110100000000011000, Hexadecimal: 0334018
70 Decimal: 4965249, Binary: 0000010010111100001110000001, Hexadecimal: 04BC381
71 Decimal: 6621475, Binary: 0000011001010000100100100011, Hexadecimal: 0650923
72 Decimal: 3336153, Binary: 0000001100101110011111011001, Hexadecimal: 032E7D9
73 Decimal: 1044743, Binary: 0000000011111111000100000111, Hexadecimal: 00FF107
74 Decimal: 6201477, Binary: 0000010111101010000010000101, Hexadecimal: 05EA085
75 Decimal: 6297100, Binary: 0000011000000001011000001100, Hexadecimal: 060160C
76 Decimal: 885678, Binary: 0000000011011000001110101110, Hexadecimal: 00D83AE
77 Decimal: 8546891, Binary: 0000100000100110101001001011, Hexadecimal: 0826A4B
78 Decimal: 6683923, Binary: 0000011001011111110100010011, Hexadecimal: 065FD13
79 Decimal: 7064472, Binary: 0000011010111100101110011000, Hexadecimal: 06BCB98
80 Decimal: 3430021, Binary: 0000001101000101011010000101, Hexadecimal: 0345685
81 Decimal: 9764122, Binary: 0000100101001111110100011010, Hexadecimal: 094FD1A
82 Decimal: 9958605, Binary: 0000100101111111010011001101, Hexadecimal: 097F4CD
83 Decimal: 1006022, Binary: 0000000011110101100111000110, Hexadecimal: 00F59C6
84 Decimal: 5276496, Binary: 0000010100001000001101010000, Hexadecimal: 0508350
85 Decimal: 8876232, Binary: 0000100001110111000011001000, Hexadecimal: 08770C8
86 Decimal: 3364648, Binary: 0000001100110101011100101000, Hexadecimal: 0335728
87 Decimal: 3539979, Binary: 0000001101100000010000001011, Hexadecimal: 036040B
88 Decimal: 3003857, Binary: 0000001011011101010111010001, Hexadecimal: 02DD5D1
89 Decimal: 4481634, Binary: 0000010001000110001001100010, Hexadecimal: 0446262
90 Decimal: 9035781, Binary: 0000100010011110000000000101, Hexadecimal: 089E005
91 Decimal: 3767021, Binary: 0000001110010111101011101101, Hexadecimal: 0397AED
92 Decimal: 4993901, Binary: 0000010011000011001101101101, Hexadecimal: 04C336D
93 Decimal: 8698377, Binary: 0000100001001011101000001001, Hexadecimal: 084BA09
94 Decimal: 4626501, Binary: 0000010001101001100001000101, Hexadecimal: 0469845
95 Decimal: 1755352, Binary: 0000000110101100100011011000, Hexadecimal: 01AC8D8
96 Decimal: 2755340, Binary: 0000001010100000101100001100, Hexadecimal: 02A0B0C
97 Decimal: 5150616, Binary: 0000010011101001011110011000, Hexadecimal: 04E9798
98 Decimal: 9345169, Binary: 0000100011101001100010010001, Hexadecimal: 08E9891
99 Decimal: 848948, Binary: 0000000011001111010000110100, Hexadecimal: 00CF434
100 Decimal: 2708748, Binary: 0000001010010101010100001100, Hexadecimal: 029550C
101 Decimal: 8372451, Binary: 0000011111111100000011100011, Hexadecimal: 07FC0E3
102 Decimal: 3523015, Binary: 0000001101011100000111000111, Hexadecimal: 035C1C7
103 Decimal: 2624283, Binary: 0000001010000000101100011011, Hexadecimal: 0280B1B
104 Decimal: 8795348, Binary: 0000100001100011010011010100, Hexadecimal: 08634D4
105 Decimal: 2318100, Binary: 0000001000110101111100010100, Hexadecimal: 0235F14
106 Decimal: 4750861, Binary: 0000010010000111111000001101, Hexadecimal: 0487E0D
107 Decimal: 3770597, Binary: 0000001110011000100011100101, Hexadecimal: 03988E5
108 Decimal: 1053352, Binary: 0000000100000001001010101000, Hexadecimal: 01012A8
109 Decimal: 833307, Binary: 0000000011001011011100011011, Hexadecimal: 00CB71B
110 Decimal: 4632526, Binary: 0000010001101010111111001110, Hexadecimal: 046AFCE
111 Decimal: 2212917, Binary: 0000001000011100010000110101, Hexadecimal: 021C435
112 Decimal: 5053189, Binary: 0000010011010001101100000101, Hexadecimal: 04D1B05
113 Decimal: 412218, Binary: 0000000001100100101000111010, Hexadecimal: 0064A3A
114 Decimal: 4901564, Binary: 0000010010101100101010111100, Hexadecimal: 04ACABC
115 Decimal: 5094606, Binary: 0000010011011011110011001110, Hexadecimal: 04DBCCE
116 Decimal: 8070285, Binary: 0000011110110010010010001101, Hexadecimal: 07B248D
117 Decimal: 6847905, Binary: 0000011010000111110110100001, Hexadecimal: 0687DA1
118 Decimal: 4311824, Binary: 0000010000011100101100010000, Hexadecimal: 041CB10
119 Decimal: 3009421, Binary: 0000001011011110101110001101, Hexadecimal: 02DEB8D
120 Decimal: 1629105, Binary: 0000000110001101101110110001, Hexadecimal: 018DBB1
121 Decimal: 8431899, Binary: 0000100000001010100100011011, Hexadecimal: 080A91B
122 Decimal: 7582456, Binary: 0000011100111011001011111000, Hexadecimal: 073B2F8
123 Decimal: 7332147, Binary: 0000011011111110000100110011, Hexadecimal: 06FE133
124 Decimal: 314183, Binary: 0000000001001100101101000111, Hexadecimal: 004CB47
125 Decimal: 7632568, Binary: 0000011101000111011010111000, Hexadecimal: 07476B8
126 Decimal: 8161327, Binary: 0000011111001000100000101111, Hexadecimal: 07C882F
127 Decimal: 6961087, Binary: 0000011010100011011110111111, Hexadecimal: 06A37BF
128 Decimal: 6898282, Binary: 0000011010010100001001101010, Hexadecimal: 069426A
129 Decimal: 9749303, Binary: 0000100101001100001100110111, Hexadecimal: 094C337
130 Decimal: 4427419, Binary: 0000010000111000111010011011, Hexadecimal: 0438E9B
131 Decimal: 4368829, Binary: 0000010000101010100110111101, Hexadecimal: 042A9BD
132 Decimal: 6439318, Binary: 0000011000100100000110010110, Hexadecimal: 0624196
133 Decimal: 6473603, Binary: 0000011000101100011110000011, Hexadecimal: 062C783
134 Decimal: 6446249, Binary: 0000011000100101110010101001, Hexadecimal: 0625CA9
135 Decimal: 9818836, Binary: 0000100101011101001011010100, Hexadecimal: 095D2D4
136 Decimal: 9438069, Binary: 0000100100000000001101110101, Hexadecimal: 0900375
137 Decimal: 2809499, Binary: 0000001010101101111010011011, Hexadecimal: 02ADE9B
138 Decimal: 3460304, Binary: 0000001101001100110011010000, Hexadecimal: 034CCD0
139 Decimal: 8430904, Binary: 0000100000001010010100111000, Hexadecimal: 080A538
140 Decimal: 9774785, Binary: 0000100101010010011011000001, Hexadecimal: 09526C1
141 Decimal: 9560603, Binary: 0000100100011110001000011011, Hexadecimal: 091E21B
142 Decimal: 3440732, Binary: 0000001101001000000001011100, Hexadecimal: 034805C
143 Decimal: 7053263, Binary: 0000011010111001111111001111, Hexadecimal: 06B9FCF
144 Decimal: 287398, Binary: 0000000001000110001010100110, Hexadecimal: 00462A6
145 Decimal: 4043644, Binary: 0000001111011011001101111100, Hexadecimal: 03DB37C
146 Decimal: 2943820, Binary: 0000001011001110101101001100, Hexadecimal: 02CEB4C
147 Decimal: 9030962, Binary: 0000100010011100110100110010, Hexadecimal: 089CD32
148 Decimal: 7537540, Binary: 0000011100110000001110000100, Hexadecimal: 0730384
149 Decimal: 7203657, Binary: 0000011011011110101101001001, Hexadecimal: 06DEB49
150 Decimal: 5639400, Binary: 0000010101100000110011101000, Hexadecimal: 0560CE8
151 Decimal: 9448142, Binary: 0000100100000010101011001110, Hexadecimal: 0902ACE
152 Decimal: 9954392, Binary: 0000100101111110010001011000, Hexadecimal: 097E458
153 Decimal: 2856859, Binary: 0000001010111001011110011011, Hexadecimal: 02B979B
154 Decimal: 1332118, Binary: 0000000101000101001110010110, Hexadecimal: 0145396
155 Decimal: 6984725, Binary: 0000011010101001010000010101, Hexadecimal: 06A9415
156 Decimal: 1925762, Binary: 0000000111010110001010000010, Hexadecimal: 01D6282
157 Decimal: 2138171, Binary: 0000001000001010000000111011, Hexadecimal: 020A03B
158 Decimal: 347447, Binary: 0000000001010100110100110111, Hexadecimal: 0054D37
159 Decimal: 8839390, Binary: 0000100001101110000011011110, Hexadecimal: 086E0DE
160 Decimal: 3951652, Binary: 0000001111000100110000100100, Hexadecimal: 03C4C24
161 Decimal: 3755102, Binary: 0000001110010100110001011110, Hexadecimal: 0394C5E
162 Decimal: 6867687, Binary: 0000011010001100101011100111, Hexadecimal: 068CAE7
163 Decimal: 4383175, Binary: 0000010000101110000111000111, Hexadecimal: 042E1C7
164 Decimal: 7125508, Binary: 0000011011001011101000000100, Hexadecimal: 06CBA04
165 Decimal: 7799732, Binary: 0000011101110000001110110100, Hexadecimal: 07703B4
166 Decimal: 8784156, Binary: 0000100001100000100100011100, Hexadecimal: 086091C
167 Decimal: 1372809, Binary: 0000000101001111001010001001, Hexadecimal: 014F289
168 Decimal: 1327984, Binary: 0000000101000100001101110000, Hexadecimal: 0144370
169 Decimal: 9205087, Binary: 0000100011000111010101011111, Hexadecimal: 08C755F
170 Decimal: 6524241, Binary: 0000011000111000110101010001, Hexadecimal: 0638D51
171 Decimal: 9316072, Binary: 0000100011100010011011101000, Hexadecimal: 08E26E8
172 Decimal: 127744, Binary: 0000000000011111001100000000, Hexadecimal: 001F300
173 Decimal: 8388820, Binary: 0000100000000000000011010100, Hexadecimal: 08000D4
174 Decimal: 6883557, Binary: 0000011010010000100011100101, Hexadecimal: 06908E5
175 Decimal: 2291239, Binary: 0000001000101111011000100111, Hexadecimal: 022F627
176 Decimal: 3101270, Binary: 0000001011110101001001010110, Hexadecimal: 02F5256
177 Decimal: 1382825, Binary: 0000000101010001100110101001, Hexadecimal: 01519A9
178 Decimal: 9873376, Binary: 0000100101101010011111100000, Hexadecimal: 096A7E0
179 Decimal: 6873500, Binary: 0000011010001110000110011100, Hexadecimal: 068E19C
180 Decimal: 8185634, Binary: 0000011111001110011100100010, Hexadecimal: 07CE722
181 Decimal: 2464786, Binary: 0000001001011001110000010010, Hexadecimal: 0259C12
182 Decimal: 8387154, Binary: 0000011111111111101001010010, Hexadecimal: 07FFA52
183 Decimal: 5581444, Binary: 0000010101010010101010000100, Hexadecimal: 0552A84
184 Decimal: 8097911, Binary: 0000011110111001000001110111, Hexadecimal: 07B9077
185 Decimal: 8882527, Binary: 0000100001111000100101011111, Hexadecimal: 087895F
186 Decimal: 8941444, Binary: 0000100010000110111110000100, Hexadecimal: 0886F84
187 Decimal: 4942703, Binary: 0000010010110110101101101111, Hexadecimal: 04B6B6F
188 Decimal: 101144, Binary: 0000000000011000101100011000, Hexadecimal: 0018B18
189 Decimal: 7471180, Binary: 0000011100100000000001001100, Hexadecimal: 072004C
190 Decimal: 1932131, Binary: 0000000111010111101101100011, Hexadecimal: 01D7B63
191 Decimal: 8052752, Binary: 0000011110101110000000010000, Hexadecimal: 07AE010
192 Decimal: 6359493, Binary: 0000011000010000100111000101, Hexadecimal: 06109C5
193 Decimal: 1967646, Binary: 0000000111100000011000011110, Hexadecimal: 01E061E
194 Decimal: 6575052, Binary: 0000011001000101001111001100, Hexadecimal: 06453CC
195 Decimal: 2323342, Binary: 0000001000110111001110001110, Hexadecimal: 023738E
196 Decimal: 6735760, Binary: 0000011001101100011110010000, Hexadecimal: 066C790
197 Decimal: 8895858, Binary: 0000100001111011110101110010, Hexadecimal: 087BD72
198 Decimal: 4238091, Binary: 0000010000001010101100001011, Hexadecimal: 040AB0B
199 Decimal: 7093069, Binary: 0000011011000011101101001101, Hexadecimal: 06C3B4D
200 Decimal: 39, Binary: 0000000000000000000000100111, Hexadecimal: 0000027
